Number of vehicles travelling between Canada and the United States 1 2,,,,,
Monthly,,,,,
Table: 24-10-0002-01 (formerly CANSIM 427-0002),,,,,
"Geography: Canada, Province or territory",,,,,
,,,,,
,Canada,,,,
,"Length of stay, total",,,,
,"Mode of transportation, total",,,,
Trip characteristics,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19
,Number,,,,
Total vehicles entering Canada,"3,534,811","2,791,764","2,645,404","2,332,807","2,363,936"
Total United States vehicles entering,"1,240,799","874,445","787,964","670,348","705,841"
Total Canadian vehicles returning,"2,294,012","1,917,319","1,857,440","1,662,459","1,658,095"
,,,,,
Symbol legend:,,,,,
,,,,,
Footnotes:,,,,,
1,Covers the period 1972 to date monthly data. Prior to 1972 do not coincide with current definitions and methods of collection. Refer to publication 66-201 annual 1972 for further explanation.,,,,
2,"Travel data for NEXUS Highway, which is a program designed to expedite the border clearance process for low-risk, pre-approved travellers into Canada and the United States, are now included. Monthly data has been revised back to January 2010 to reflect this change.",,,,
,,,,,
How to cite: Statistics Canada. Table 24-10-0002-01 Number of vehicles travelling between Canada and the United States,,,,,
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2410000201,,,,,
DOI: https://doi.org/10.25318/2410000201-eng,,,,,